,거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,ymd
0,"55,800",,2000,2011,청운동,청운현대,1,12,84.51,,56-45,11110,5,,,201101
1,"59,000",,2000,2011,청운동,청운현대,1,21,84.51,,56-45,11110,4,,,201101
2,"53,500",,2002,2011,신교동,신현(101동),1,8,84.82,,6-13,11110,4,,,201101
3,"67,000",,2008,2011,사직동,광화문스페이스본(101동~105동),1,6,94.51,,9,11110,1,,,201101
4,"63,500",,2008,2011,사직동,광화문스페이스본(101동~105동),1,6,70.8,,9,11110,13,,,201101
5,"130,000",,2008,2011,사직동,광화문스페이스본(106동),1,14,153.42,,9-1,11110,7,,,201101
6,"38,000",,1994,2011,내수동,세종로대우,1,31,66.96,,167,11110,10,,,201101
7,"96,000",,2008,2011,견지동,대성스카이렉스,1,19,149.72,,110,11110,7,,,201101
8,"32,000",,1998,2011,익선동,운현신화타워,1,12,57.18,,30-6,11110,9,,,201101
9,"20,500",,2003,2011,익선동,현대뜨레비앙,1,18,48.54,,55,11110,2,,,201101
10,"20,000",,2003,2011,익선동,현대뜨레비앙,1,21,48.54,,55,11110,6,,,201101
11,"19,000",,2003,2011,익선동,현대뜨레비앙,1,22,46.64,,55,11110,2,,,201101
12,"45,500",,2006,2011,인의동,효성쥬얼리시티,1,21,84.64,,48-2,11110,9,,,201101
13,"54,500",,1995,2011,명륜2가,아남1,1,15,84.8,,4,11110,14,,,201101
14,"28,300",,1999,2011,명륜2가,아남3,1,17,47.43,,237,11110,3,,,201101
15,"59,700",,1995,2011,명륜2가,아남1,1,21,84.9,,4,11110,18,,,201101
16,"36,000",,1992,2011,창신동,창신쌍용1,1,3,79.87,,702,11110,10,,,201101
17,"25,000",,1992,2011,창신동,창신쌍용1,1,4,54.7,,702,11110,3,,,201101
18,"31,800",,1999,2011,창신동,두산,1,5,59.95,,232,11110,4,,,201101
19,"48,500",,1999,2011,창신동,두산,1,10,84.9,,232,11110,16,,,201101
20,"50,000",,1999,2011,창신동,두산,1,20,84.9,,232,11110,11,,,201101
21,"24,250",,1992,2011,창신동,창신쌍용1,1,25,54.7,,702,11110,2,,,201101
22,"18,000",,2002,2011,창신동,그린,1,26,41.96,,23-326,11110,2,,,201101
23,"36,000",,1992,2011,창신동,창신쌍용1,1,27,79.87,,702,11110,8,,,201101
24,"40,750",,2009,2011,숭인동,종로청계힐스테이트,1,7,59.9426,,766,11110,4,,,201101
25,"37,000",,2008,2011,숭인동,종로센트레빌,1,9,59.92,,2-1,11110,4,,,201101
26,"38,000",,2008,2011,숭인동,종로센트레빌,1,17,59.92,,2-1,11110,2,,,201101
27,"52,000",,2004,2011,숭인동,롯데캐슬천지인,1,20,84.95,,76,11110,15,,,201101
28,"50,000",,2004,2011,숭인동,롯데캐슬천지인,1,24,84.95,,76,11110,30,,,201101
29,"68,500",,2004,2011,숭인동,롯데캐슬천지인,1,29,111.73,,76,11110,16,,,201101
30,"64,600",,2004,2011,숭인동,롯데캐슬천지인,1,31,111.73,,76,11110,26,,,201101
31,"34,000",,1998,2011,평창동,삼성,1,8,84.98,,596,11110,13,,,201101
32,"37,400",,1998,2011,평창동,삼성,1,11,84.93,,596,11110,15,,,201101
33,"95,400",,2004,2011,평창동,벽산블루밍평창힐스,1,20,155.97,,45,11110,2,,,201101
34,"40,000",,2001,2011,평창동,롯데낙천대,1,26,91.06,,72,11110,1,,,201101
35,"23,000",,1998,2011,신영동,대아파크빌,1,6,59.22,,254,11110,13,,,201101
36,"40,790",,2000,2011,무악동,현대,1,4,60,,82,11110,8,,,201101
37,"35,980",,2000,2011,무악동,현대,1,8,60,,82,11110,9,,,201101
38,"56,450",,2000,2011,무악동,현대,1,14,84.92,,82,11110,14,,,201101
39,"56,000",,2000,2011,무악동,현대,1,17,114.9,,82,11110,1,,,201101
40,"86,000",,2008,2011,무악동,인왕산아이파크,1,17,114.931,,60,11110,5,,,201101
41,"67,490",,2000,2011,무악동,현대,1,22,114.9,,82,11110,14,,,201101
42,"35,000",,2000,2011,무악동,현대,1,25,60,,82,11110,4,,,201101
43,"72,990",,2000,2011,무악동,현대,1,26,114.9,,82,11110,15,,,201101
44,"64,990",,2000,2011,무악동,현대,1,26,114.9,,82,11110,5,,,201101
45,"49,970",,2000,2011,무악동,현대,1,27,84.92,,82,11110,8,,,201101
46,"54,000",,2000,2011,무악동,현대,1,27,84.92,,82,11110,11,,,201101
47,"34,990",,2000,2011,무악동,현대,1,28,60,,82,11110,7,,,201101
48,"61,000",,2008,2011,무악동,인왕산아이파크,1,29,84.858,,60,11110,6,,,201101
49,"55,990",,2000,2011,무악동,현대,1,29,84.92,,82,11110,15,,,201101
50,"74,450",,2000,2011,무악동,현대,1,29,114.9,,82,11110,19,,,201101
0,"80,000",,2008,2011,사직동,광화문스페이스본(101동~105동),2,17,94.51,,9,11110,3,,,201102
1,"75,000",,2008,2011,사직동,광화문스페이스본(101동~105동),2,19,94.51,,9,11110,10,,,201102
2,"118,000",,2008,2011,사직동,광화문스페이스본(101동~105동),2,24,159.01,,9,11110,4,,,201102
3,"41,000",,1983,2011,당주동,세종,2,8,91.46,,100,11110,10,,,201102
4,"111,000",,2004,2011,내수동,경희궁의아침2단지,2,7,124.17,,71,11110,7,,,201102
5,"150,000",,2004,2011,내수동,경희궁의아침2단지,2,22,174.55,,71,11110,14,,,201102
6,"29,800",,2005,2011,수송동,로얄팰리스스위트,2,12,39.67,,85,11110,13,,,201102
7,"95,000",,2008,2011,견지동,대성스카이렉스,2,24,149.8,,110,11110,5,,,201102
8,"17,000",,2003,2011,익선동,현대뜨레비앙,2,9,36.08,,55,11110,6,,,201102
9,"20,000",,2003,2011,익선동,현대뜨레비앙,2,11,48.54,,55,11110,2,,,201102
10,"19,500",,2003,2011,익선동,현대뜨레비앙,2,18,45.5,,55,11110,5,,,201102
11,"30,000",,1968,2011,낙원동,낙원,2,16,73.59,,288,11110,13,,,201102
12,"25,000",,1993,2011,창신동,창신쌍용2,2,1,64.66,,703,11110,6,,,201102
13,"43,500",,1992,2011,창신동,창신쌍용1,2,7,106.62,,702,11110,13,,,201102
14,"26,500",,1993,2011,창신동,창신쌍용2,2,9,64.66,,703,11110,4,,,201102
15,"24,000",,1993,2011,창신동,창신쌍용2,2,12,54.7,,703,11110,4,,,201102
16,"32,000",,1999,2011,창신동,두산,2,14,59.95,,232,11110,4,,,201102
17,"26,900",,1993,2011,창신동,창신쌍용2,2,14,64.66,,703,11110,5,,,201102
18,"23,500",,1968,2011,창신동,동대문,2,15,28.8,,328-17,11110,5,,,201102
19,"35,000",,1992,2011,창신동,창신쌍용1,2,15,79.87,,702,11110,2,,,201102
20,"24,000",,1993,2011,창신동,창신쌍용2,2,17,54.7,,703,11110,12,,,201102
21,"27,500",,1992,2011,창신동,창신쌍용1,2,21,54.7,,702,11110,5,,,201102
22,"36,000",,1992,2011,창신동,창신쌍용1,2,21,79.87,,702,11110,12,,,201102
23,"34,500",,1999,2011,창신동,두산,2,22,59.95,,232,11110,14,,,201102
24,"43,500",,2006,2011,창신동,브라운스톤창신,2,22,84.87,,23-76,11110,12,,,201102
25,"32,000",,1993,2011,창신동,창신쌍용2,2,22,79.87,,703,11110,5,,,201102
26,"25,000",,1968,2011,창신동,동대문,2,24,28.8,,328-17,11110,5,,,201102
27,"25,000",,2002,2011,창신동,MID그린(5동),2,28,59.04,,601-4,11110,7,,,201102
28,"39,750",,2008,2011,숭인동,종로센트레빌,2,23,59.92,,2-1,11110,12,,,201102
29,"45,300",,2004,2011,숭인동,롯데캐슬천지인,2,24,84.95,,76,11110,5,,,201102
30,"64,500",,2009,2011,숭인동,종로청계힐스테이트,2,25,114.7153,,766,11110,2,,,201102
31,"45,000",,2005,2011,구기동,렉스팰리스,2,24,151.62,,95-1,11110,1,,,201102
32,"10,950",,1997,2011,평창동,갑을아파트,2,9,30.46,,595,11110,11,,,201102
33,"71,500",,2001,2011,평창동,롯데낙천대,2,14,110.53,,72,11110,9,,,201102
34,"9,500",,1997,2011,평창동,갑을아파트,2,24,30.46,,595,11110,5,,,201102
35,"69,990",,2000,2011,무악동,현대,2,7,114.9,,82,11110,14,,,201102
36,"86,000",,2008,2011,무악동,인왕산아이파크,2,8,114.931,,60,11110,7,,,201102
37,"67,400",,2008,2011,무악동,인왕산아이파크,2,8,84.858,,60,11110,10,,,201102
38,"40,490",,2000,2011,무악동,현대,2,14,60,,82,11110,9,,,201102
39,"65,000",,2008,2011,무악동,인왕산아이파크,2,15,84.858,,60,11110,3,,,201102
40,"69,500",,2008,2011,무악동,인왕산아이파크,2,16,84.858,,60,11110,8,,,201102
41,"36,790",,2000,2011,무악동,현대,2,16,60,,82,11110,13,,,201102
42,"81,000",,2008,2011,무악동,인왕산아이파크,2,17,114.931,,60,11110,7,,,201102
43,"34,300",,2000,2011,무악동,현대,2,17,60,,82,11110,1,,,201102
44,"88,000",,2008,2011,무악동,인왕산아이파크,2,18,114.931,,60,11110,8,,,201102
45,"49,990",,2000,2011,무악동,현대,2,19,84.92,,82,11110,3,,,201102
46,"39,890",,2000,2011,무악동,현대,2,19,60,,82,11110,6,,,201102
47,"73,000",,2008,2011,무악동,인왕산아이파크,2,20,84.858,,60,11110,15,,,201102
0,"56,000",,2000,2011,청운동,청운현대,3,12,84.51,,56-45,11110,3,,,201103
1,"97,000",,2008,2011,사직동,광화문스페이스본(101동~105동),3,4,108.55,,9,11110,4,,,201103
2,"104,700",,2008,2011,사직동,광화문스페이스본(101동~105동),3,7,131.44,,9,11110,11,,,201103
3,"85,500",,2008,2011,사직동,광화문스페이스본(101동~105동),3,15,94.51,,9,11110,13,,,201103
4,"77,000",,2008,2011,사직동,광화문스페이스본(101동~105동),3,17,94.51,,9,11110,14,,,201103
5,"104,000",,2008,2011,사직동,광화문스페이스본(101동~105동),3,30,146.92,,9,11110,11,,,201103
6,"134,000",,2004,2011,내수동,경희궁의아침3단지,3,29,174.55,,72,11110,2,,,201103
7,"55,000",,1994,2011,내수동,세종로대우,3,31,100.44,,167,11110,11,,,201103
8,"19,700",,2003,2011,익선동,현대뜨레비앙,3,3,46.64,,55,11110,2,,,201103
9,"20,300",,2003,2011,익선동,현대뜨레비앙,3,5,46.64,,55,11110,3,,,201103
10,"19,000",,2003,2011,익선동,현대뜨레비앙,3,8,45.5,,55,11110,5,,,201103
11,"19,000",,2003,2011,익선동,현대뜨레비앙,3,8,45.5,,55,11110,5,,,201103
12,"23,000",,2003,2011,익선동,현대뜨레비앙,3,9,48.54,,55,11110,8,,,201103
13,"21,000",,2003,2011,익선동,현대뜨레비앙,3,16,46.64,,55,11110,3,,,201103
14,"20,000",,2003,2011,익선동,현대뜨레비앙,3,21,48.54,,55,11110,3,,,201103
15,"21,900",,2003,2011,익선동,현대뜨레비앙,3,23,46.64,,55,11110,3,,,201103
16,"22,000",,2003,2011,익선동,현대뜨레비앙,3,26,48.54,,55,11110,2,,,201103
17,"21,500",,2003,2011,익선동,현대뜨레비앙,3,31,46.64,,55,11110,4,,,201103
18,"44,500",,2006,2011,인의동,효성쥬얼리시티,3,18,92.81,,48-2,11110,14,,,201103
19,"55,000",,2006,2011,인의동,효성쥬얼리시티,3,31,98.39,,48-2,11110,13,,,201103
20,"46,000",,2006,2011,명륜1가,렉스빌,3,7,106.98,,19,11110,3,,,201103
21,"37,000",,2003,2011,명륜1가,대보,3,8,81.97,,36-5,11110,1,,,201103
22,"30,800",,1999,2011,명륜2가,아남3,3,2,50.49,,237,11110,3,,,201103
23,"55,100",,1995,2011,명륜2가,아남1,3,2,84.9,,4,11110,8,,,201103
24,"59,000",,1995,2011,명륜2가,아남1,3,5,84.9,,4,11110,10,,,201103
25,"32,000",,1999,2011,명륜2가,아남3,3,7,47.43,,237,11110,7,,,201103
26,"56,000",,1995,2011,명륜2가,아남1,3,8,84.9,,4,11110,10,,,201103
27,"43,600",,1999,2011,명륜2가,아남3,3,11,65.78,,237,11110,5,,,201103
28,"50,500",,1995,2011,명륜2가,아남1,3,17,84.8,,4,11110,7,,,201103
29,"33,000",,1999,2011,명륜2가,아남3,3,20,50.49,,237,11110,2,,,201103
30,"54,300",,1995,2011,명륜2가,아남1,3,22,84.8,,4,11110,13,,,201103
31,"24,000",,1968,2011,창신동,동대문,3,3,28.8,,328-17,11110,1,,,201103
32,"33,000",,1999,2011,창신동,두산,3,4,59.95,,232,11110,1,,,201103
33,"49,500",,1999,2011,창신동,두산,3,9,84.9,,232,11110,4,,,201103
34,"34,700",,1999,2011,창신동,두산,3,11,59.95,,232,11110,12,,,201103
35,"26,900",,1993,2011,창신동,창신쌍용2,3,12,64.66,,703,11110,12,,,201103
36,"25,500",,1992,2011,창신동,창신쌍용1,3,12,54.7,,702,11110,10,,,201103
37,"42,500",,2006,2011,창신동,브라운스톤창신,3,14,84.67,,23-76,11110,3,,,201103
38,"20,800",,1993,2011,창신동,창신쌍용2,3,14,54.7,,703,11110,1,,,201103
39,"26,000",,1992,2011,창신동,창신쌍용1,3,15,54.7,,702,11110,9,,,201103
40,"34,800",,1992,2011,창신동,창신쌍용1,3,22,79.87,,702,11110,9,,,201103
41,"33,000",,1999,2011,창신동,두산,3,24,59.95,,232,11110,6,,,201103
42,"32,000",,1993,2011,창신동,창신쌍용2,3,25,79.87,,703,11110,13,,,201103
43,"32,000",,1993,2011,창신동,창신쌍용2,3,25,79.87,,703,11110,13,,,201103
44,"52,500",,1999,2011,창신동,두산,3,26,84.9,,232,11110,13,,,201103
45,"24,700",,1999,2011,창신동,덕산,3,29,59.22,,639-50,11110,5,,,201103
46,"39,500",,2008,2011,숭인동,종로센트레빌,3,4,59.92,,2-1,11110,8,,,201103
47,"50,000",,2008,2011,숭인동,종로센트레빌,3,5,84.92,,2-1,11110,5,,,201103
48,"38,850",,2008,2011,숭인동,종로센트레빌,3,5,59.92,,2-1,11110,6,,,201103
49,"52,900",,2008,2011,숭인동,종로센트레빌,3,14,84.92,,2-1,11110,12,,,201103
50,"33,000",,2009,2011,숭인동,종로청계힐스테이트,3,15,59.9426,,766,11110,4,,,201103
51,"20,000",,1995,2011,교북동,동아,3,14,59.98,,101,11110,3,,,201103
52,"44,000",,2005,2011,구기동,렉스팰리스,3,9,146.55,,95-1,11110,5,,,201103
53,"40,000",,2005,2011,구기동,렉스팰리스,3,10,135.33,,95-1,11110,2,,,201103
54,"53,000",,2005,2011,구기동,렉스팰리스,3,25,151.62,,95-1,11110,4,,,201103
55,"28,900",,1998,2011,평창동,삼성,3,3,59.97,,596,11110,12,,,201103
56,"35,000",,1996,2011,평창동,일성빌라트,3,4,84.99,,145-5,11110,4,,,201103
57,"28,000",,1998,2011,평창동,삼성,3,5,59.97,,596,11110,15,,,201103
58,"22,000",,1997,2011,평창동,갑을아파트,3,5,64.88,,595,11110,11,,,201103
59,"20,000",,1997,2011,평창동,갑을아파트,3,24,53.33,,595,11110,9,,,201103
60,"23,000",,1998,2011,신영동,대아파크빌,3,18,59.22,,254,11110,3,,,201103
61,"64,300",,2008,2011,무악동,인왕산아이파크,3,4,84.858,,60,11110,3,,,201103
62,"50,500",,2008,2011,무악동,인왕산아이파크,3,10,59.993,,60,11110,11,,,201103
63,"133,500",,2008,2011,무악동,인왕산아이파크,3,15,157.289,,60,11110,17,,,201103
64,"64,000",,2008,2011,무악동,인왕산아이파크,3,18,84.858,,60,11110,1,,,201103
65,"59,000",,2008,2011,무악동,인왕산아이파크,3,22,84.858,,60,11110,1,,,201103
66,"74,500",,2008,2011,무악동,인왕산아이파크,3,28,84.858,,60,11110,16,,,201103
67,"87,000",,2008,2011,무악동,인왕산아이파크,3,29,114.931,,60,11110,8,,,201103
0,"20,000",,1999,2011,통인동,효자,4,18,56.53,,5-1,11110,4,,,201104
1,"80,000",,2008,2011,사직동,광화문스페이스본(101동~105동),4,21,97.61,,9,11110,13,,,201104
2,"98,800",,2003,2011,내수동,경희궁파크팰리스,4,2,117.26,,95,11110,16,,,201104
3,"45,000",,1994,2011,내수동,세종로대우,4,5,76.66,,167,11110,15,,,201104
4,"39,000",,1994,2011,내수동,세종로대우,4,9,66.96,,167,11110,10,,,201104
5,"99,000",,2003,2011,내수동,경희궁파크팰리스,4,29,103.77,,95,11110,10,,,201104
6,"34,500",,1996,2011,명륜2가,아남2,4,12,59.4,,236,11110,2,,,201104
7,"24,000",,2002,2011,창신동,MID그린(4동),4,1,59.55,,601-5,11110,6,,,201104
8,"27,000",,1992,2011,창신동,창신쌍용1,4,4,54.7,,702,11110,7,,,201104
9,"33,000",,1993,2011,창신동,창신쌍용2,4,5,79.87,,703,11110,8,,,201104
10,"46,750",,1992,2011,창신동,창신쌍용1,4,6,106.62,,702,11110,12,,,201104
11,"26,000",,1968,2011,창신동,동대문,4,6,28.8,,328-17,11110,3,,,201104
12,"34,200",,1992,2011,창신동,창신쌍용1,4,12,79.87,,702,11110,6,,,201104
13,"37,400",,1992,2011,창신동,창신쌍용1,4,13,79.87,,702,11110,5,,,201104
14,"27,500",,1992,2011,창신동,창신쌍용1,4,15,54.7,,702,11110,8,,,201104
15,"31,000",,1999,2011,창신동,두산,4,26,59.95,,232,11110,5,,,201104
16,"33,800",,1993,2011,창신동,창신쌍용2,4,29,79.87,,703,11110,15,,,201104
17,"65,500",,2008,2011,숭인동,종로센트레빌,4,1,114.67,,2-1,11110,10,,,201104
18,"39,500",,1996,2011,평창동,일성빌라트,4,5,84.99,,145-5,11110,2,,,201104
19,"9,000",,1997,2011,평창동,갑을아파트,4,14,30.46,,595,11110,6,,,201104
20,"28,500",,1998,2011,평창동,삼성,4,20,59.97,,596,11110,13,,,201104
21,"9,800",,1997,2011,평창동,갑을아파트,4,25,30.46,,595,11110,8,,,201104
22,"62,000",,2008,2011,무악동,인왕산아이파크,4,2,84.858,,60,11110,10,,,201104
23,"85,500",,2008,2011,무악동,인왕산아이파크,4,9,114.931,,60,11110,2,,,201104
24,"89,500",,2008,2011,무악동,인왕산아이파크,4,11,114.931,,60,11110,13,,,201104
25,"36,990",,2000,2011,무악동,현대,4,14,60,,82,11110,13,,,201104
26,"70,500",,2008,2011,무악동,인왕산아이파크,4,19,84.858,,60,11110,14,,,201104
27,"79,500",,2008,2011,무악동,인왕산아이파크,4,20,114.931,,60,11110,3,,,201104
28,"48,890",,2000,2011,무악동,현대,4,23,84.92,,82,11110,9,,,201104
29,"58,990",,2000,2011,무악동,현대,4,25,114.9,,82,11110,5,,,201104
0,"115,000",,2008,2011,사직동,광화문스페이스본(101동~105동),5,31,146.92,,9,11110,7,,,201105
1,"125,000",,2004,2011,내수동,경희궁의아침3단지,5,15,149,,72,11110,13,,,201105
2,"128,000",,2004,2011,내수동,경희궁의아침3단지,5,17,150.48,,72,11110,2,,,201105
3,"137,500",,2003,2011,내수동,경희궁파크팰리스,5,18,147.62,,95,11110,5,,,201105
4,"20,000",,2003,2011,익선동,현대뜨레비앙,5,9,43.98,,55,11110,6,,,201105
5,"15,000",,2003,2011,익선동,현대뜨레비앙,5,17,45.5,,55,11110,5,,,201105
6,"20,800",,2003,2011,익선동,현대뜨레비앙,5,31,46.64,,55,11110,4,,,201105
7,"40,000",,2003,2011,명륜1가,대보,5,6,81.97,,36-5,11110,2,,,201105
8,"55,000",,1995,2011,명륜2가,아남1,5,11,84.9,,4,11110,7,,,201105
9,"45,700",,1992,2011,창신동,창신쌍용1,5,2,106.62,,702,11110,10,,,201105
10,"46,700",,1993,2011,창신동,창신쌍용2,5,5,106.62,,703,11110,11,,,201105
11,"18,000",,1970,2011,창신동,동문상가,5,9,45.3,,436-41,11110,5,,,201105
12,"24,800",,1992,2011,창신동,창신쌍용1,5,11,54.7,,702,11110,4,,,201105
13,"25,300",,2002,2011,창신동,MID그린(5동),5,20,59.04,,601-4,11110,5,,,201105
14,"35,250",,1992,2011,창신동,창신쌍용1,5,25,79.87,,702,11110,13,,,201105
15,"34,450",,1999,2011,창신동,두산,5,30,59.95,,232,11110,7,,,201105
16,"57,400",,2009,2011,숭인동,종로청계힐스테이트,5,7,84.9478,,766,11110,6,,,201105
17,"23,000",,2000,2011,숭인동,숭인동103동(569-4),5,23,59.74,,569-4,11110,5,,,201105
18,"56,000",,2009,2011,숭인동,종로청계힐스테이트,5,31,84.9478,,766,11110,15,,,201105
19,"8,300",,1971,2011,행촌동,대성아파트,5,19,30.28,,41-1,11110,3,,,201105
20,"71,000",,2001,2011,평창동,롯데낙천대,5,11,110.53,,72,11110,14,,,201105
21,"121,000",,2008,2011,평창동,르트랑시망,5,25,133.77,,102,11110,5,,,201105
22,"40,000",,1998,2011,평창동,삼성,5,27,84.93,,596,11110,5,,,201105
23,"81,000",,2004,2011,평창동,벽산블루밍평창힐스,5,31,150.94,,45,11110,1,,,201105
24,"22,500",,1998,2011,신영동,대아파크빌,5,19,59.22,,254,11110,6,,,201105
25,"37,500",,1998,2011,신영동,대아파크빌,5,21,84.84,,254,11110,9,,,201105
26,"52,800",,2008,2011,무악동,인왕산아이파크,5,3,84.858,,60,11110,1,,,201105
27,"57,990",,2000,2011,무악동,현대,5,11,114.9,,82,11110,3,,,201105
28,"55,760",,2000,2011,무악동,현대,5,13,84.92,,82,11110,17,,,201105
29,"45,490",,2000,2011,무악동,현대,5,14,84.92,,82,11110,3,,,201105
30,"59,000",,2008,2011,무악동,인왕산아이파크,5,27,84.858,,60,11110,4,,,201105
0,"54,000",,2007,2011,필운동,두레엘리시안,6,16,84.74,,174-1,11110,2,,,201106
1,"75,500",,2008,2011,사직동,광화문스페이스본(101동~105동),6,15,95.88,,9,11110,9,,,201106
2,"113,000",,2004,2011,내수동,경희궁의아침3단지,6,8,124.17,,72,11110,9,,,201106
3,"128,000",,2003,2011,내수동,경희궁파크팰리스,6,10,147.62,,95,11110,15,,,201106
4,"140,000",,2004,2011,내수동,경희궁의아침3단지,6,15,174.55,,72,11110,7,,,201106
5,"31,800",,2005,2011,수송동,로얄팰리스스위트,6,22,43.07,,85,11110,10,,,201106
6,"17,600",,2003,2011,익선동,현대뜨레비앙,6,20,45.5,,55,11110,5,,,201106
7,"22,500",,2003,2011,익선동,현대뜨레비앙,6,27,48.54,,55,11110,8,,,201106
8,"18,500",,1999,2011,동숭동,동성아파트(2동),6,17,59.34,,4-157,11110,4,,,201106
9,"54,000",,2006,2011,명륜1가,렉스빌,6,25,135.79,,19,11110,1,,,201106
10,"57,500",,1995,2011,명륜2가,아남1,6,15,84.9,,4,11110,5,,,201106
11,"26,650",,1994,2011,창신동,성용,6,1,58.23,,640-252,11110,1,,,201106
12,"27,000",,1992,2011,창신동,창신쌍용1,6,1,54.7,,702,11110,14,,,201106
13,"27,500",,1992,2011,창신동,창신쌍용1,6,1,54.7,,702,11110,7,,,201106
14,"42,600",,1973,2011,창신동,동대문맨션,6,7,122.71,,578-5,11110,9,,,201106
15,"26,900",,1992,2011,창신동,창신쌍용1,6,8,54.7,,702,11110,10,,,201106
16,"25,800",,1993,2011,창신동,창신쌍용2,6,9,64.66,,703,11110,5,,,201106
17,"26,300",,1993,2011,창신동,창신쌍용2,6,16,64.66,,703,11110,6,,,201106
18,"22,000",,1973,2011,창신동,동대문맨션,6,17,83.83,,578-5,11110,6,,,201106
19,"34,000",,1999,2011,창신동,두산,6,18,59.95,,232,11110,15,,,201106
20,"35,000",,1993,2011,창신동,창신쌍용2,6,18,79.87,,703,11110,4,,,201106
21,"42,500",,2006,2011,창신동,브라운스톤창신,6,20,84.87,,23-76,11110,6,,,201106
22,"36,000",,1999,2011,창신동,두산,6,20,59.95,,232,11110,11,,,201106
23,"34,000",,1993,2011,창신동,창신쌍용2,6,20,79.87,,703,11110,11,,,201106
24,"26,200",,1973,2011,창신동,동대문맨션,6,28,83.83,,578-5,11110,6,,,201106
25,"27,250",,1993,2011,창신동,창신쌍용2,6,29,64.66,,703,11110,6,,,201106
26,"15,000",,1971,2011,숭인동,동일상가,6,4,84.15,,232-29,11110,5,,,201106
27,"55,000",,2004,2011,숭인동,롯데캐슬천지인,6,20,84.95,,76,11110,17,,,201106
28,"12,000",,1997,2011,평창동,갑을아파트,6,10,30.46,,595,11110,13,,,201106
29,"26,000",,2004,2011,부암동,부암스카이뷰,6,9,76.65,,218-1,11110,1,,,201106
0,"81,000",,2007,2011,필운동,신동아블루아광화문의꿈,7,18,138.66,,254,11110,7,,,201107
1,"124,000",,2008,2011,사직동,광화문스페이스본(101동~105동),7,12,160.85,,9,11110,13,,,201107
2,"104,000",,2008,2011,사직동,광화문스페이스본(106동),7,18,153.42,,9-1,11110,5,,,201107
3,"120,000",,2008,2011,사직동,광화문스페이스본(101동~105동),7,27,147.31,,9,11110,4,,,201107
4,"121,000",,2003,2011,내수동,경희궁파크팰리스,7,20,146.33,,95,11110,8,,,201107
5,"23,900",,2003,2011,익선동,현대뜨레비앙,7,6,48.54,,55,11110,7,,,201107
6,"16,760",,2011,2011,충신동,CS타워,7,5,22.17,,62-2,11110,9,,,201107
7,"18,384",,2011,2011,충신동,CS타워,7,5,21.94,,62-2,11110,14,,,201107
8,"18,384",,2011,2011,충신동,CS타워,7,5,21.94,,62-2,11110,13,,,201107
9,"18,150",,2011,2011,충신동,CS타워,7,6,21.94,,62-2,11110,10,,,201107
10,"16,760",,2011,2011,충신동,CS타워,7,11,22.17,,62-2,11110,10,,,201107
11,"16,760",,2011,2011,충신동,CS타워,7,22,22.17,,62-2,11110,9,,,201107
12,"16,760",,2011,2011,충신동,CS타워,7,24,22.17,,62-2,11110,10,,,201107
13,"18,384",,2011,2011,충신동,CS타워,7,24,21.94,,62-2,11110,14,,,201107
14,"18,150",,2011,2011,충신동,CS타워,7,28,21.94,,62-2,11110,9,,,201107
15,"58,000",,1995,2011,명륜2가,아남1,7,12,84.9,,4,11110,7,,,201107
16,"43,500",,1999,2011,명륜2가,아남3,7,21,65.78,,237,11110,6,,,201107
17,"57,500",,1995,2011,명륜2가,아남1,7,27,84.9,,4,11110,18,,,201107
18,"31,000",,1993,2011,창신동,창신쌍용2,7,5,79.87,,703,11110,8,,,201107
19,"30,500",,1993,2011,창신동,창신쌍용2,7,9,79.87,,703,11110,10,,,201107
20,"27,300",,1993,2011,창신동,창신쌍용2,7,9,64.66,,703,11110,5,,,201107
21,"25,500",,1999,2011,창신동,덕산,7,11,59.28,,639-50,11110,3,,,201107
22,"19,500",,2002,2011,창신동,MID그린(9동),7,15,59.9,,601-6,11110,3,,,201107
23,"24,000",,1996,2011,창신동,유성,7,15,59.94,,640-76,11110,2,,,201107
24,"34,000",,1992,2011,창신동,창신쌍용1,7,16,79.87,,702,11110,14,,,201107
25,"35,500",,1999,2011,창신동,두산,7,18,59.95,,232,11110,13,,,201107
26,"32,500",,1999,2011,창신동,두산,7,18,59.95,,232,11110,5,,,201107
27,"25,900",,1993,2011,창신동,창신쌍용2,7,21,64.66,,703,11110,9,,,201107
28,"36,400",,1992,2011,창신동,창신쌍용1,7,23,79.87,,702,11110,3,,,201107
29,"25,700",,1992,2011,창신동,창신쌍용1,7,25,54.7,,702,11110,4,,,201107
30,"15,000",,1968,2011,창신동,(436-79),7,26,36.17,,436-79,11110,6,,,201107
31,"34,750",,1999,2011,창신동,두산,7,27,59.95,,232,11110,8,,,201107
32,"42,000",,1993,2011,창신동,창신쌍용2,7,28,115.53,,703,11110,14,,,201107
33,"26,000",,1993,2011,창신동,창신쌍용2,7,29,64.66,,703,11110,3,,,201107
34,"18,700",,1997,2011,숭인동,오성,7,5,56.96,,888,11110,1,,,201107
35,"53,000",,2004,2011,숭인동,롯데캐슬천지인,7,6,84.95,,76,11110,18,,,201107
36,"53,000",,2008,2011,숭인동,종로센트레빌,7,13,84.92,,2-1,11110,10,,,201107
